	tag_info	osm_id	osm_title	description
23	tourism=hotel	Q4735	Item:Q4735	Hotel - an establishment that provides paid lodging
24	bath:type=hammam	Q5182	Item:Q5182	A Turkish bath
25	leisure=turkish_bath	Q6364	Item:Q6364	Turkish bath / Hammam / Hamam - See more common amenity=public_bath + bath:type=hammam
26	healthcare:speciality=palliative	Q21890	Item:Q21890	Medical specialty concerned with optimizing quality of life and mitigating suffering among people with serious, complex illnesses.
27	denomination=methodist	Q17069	Item:Q17069	
28	craft=photographer	Q5328	Item:Q5328	A workplace or office of a person who takes photographs using a camera.
29	natural=strait	Q5327	Item:Q5327	A narrow area of water surrounded by land on two sides and by water on two other sides.
30	lawyer	Q376	Item:Q376	Specifies the type of an office for a lawyer.
31	office=lawyer	Q5740	Item:Q5740	An office for a lawyer.
32	sport=american_football	Q6659	Item:Q6659	A sport played by two teams of eleven players on a rectangular field with goalposts at each end.
33	zoo	Q841	Item:Q841	Describes the type of zoo
34	tourism=zoo	Q4737	Item:Q4737	A zoological garden, where animals are confined for viewing by the public.
35	man_made=geoglyph	Q6419	Item:Q6419	Large design or motif produced on the ground and typically formed by clastic rocks or similarly durable elements of the landscape.
36	office=association	Q5446	Item:Q5446	An office of a non-profit organisation, society, e.g. student, sport, consumer, automobile, bike association, etc.
37	man_made=adit	Q6387	Item:Q6387	A type of entrance to an underground mine which is horizontal or nearly horizontal.
38	amenity=atm	Q4740	Item:Q4740	A device that provides the clients of a financial institution with access to financial transactions.
39	cuisine=regional	Q21573	Item:Q21573	Regional (local) cuisine, if there is no exact description
40	crop=tea	Q7295	Item:Q7295	Specifies an agricultural feature produces Tea leaves. See also trees=tea_trees
41	lock	Q388	Item:Q388	Marks a stretch of waterway bounded by lock gates, forming a lock.
42	natural=cliff	Q4715	Item:Q4715	A vertical or almost vertical natural drop in terrain, usually with a bare rock surface. The bottom of the cliff is on the right side of the way.
43	building=chapel	Q5681	Item:Q5681	Building built as chapel.
44	healthcare:speciality=gastroenterology	Q21863	Item:Q21863	Medical speciality concerning the digestive system and its disorders.
45	healthcare:speciality=paediatrics	Q21842	Item:Q21842	A branch of medicine that involves the medical care of infants, children, and adolescents.
46	sport=darts	Q5775	Item:Q5775	Darts is a form of throwing game in which small missiles are thrown at a circular target (dartboard) fixed to a wall.
47	except	Q2435	Item:Q2435	exemptions from turn restriction
48	contact:phone	Q1185	Item:Q1185	A telephone number associated with the object. Use +CC XXX XXX XXX format, where CC is a country code.
49	phone	Q553	Item:Q553	A telephone number associated with the object. Use +CC XXX XXX XXX format, where CC is a country code.
50	landuse=railway	Q4792	Item:Q4792	An area of land dedicated to train operation or support, including areas around tracks, rail corridors, yards, sidings, station complexes, and ancillary man-made objects along the tracks.
51	amenity=community_centre	Q6740	Item:Q6740	A public place mostly used for local events, festivities and group activities.
52	craft=bakery	Q6171	Item:Q6171	A workplace for fresh bakery goods. No shop.
53	boundary=protected_area	Q6655	Item:Q6655	Used to mark boundaries of protected areas including national parks, wilderness, marine protection areas, heritage sites, and other similar areas.
54	healthcare:speciality=neurosurgery	Q21883	Item:Q21883	Medical specialty concerning the prevention, diagnosis, surgical treatment, and rehabilitation of disorders which affect any portion of the nervous system.
55	building=college	Q5794	Item:Q5794	A building constructed to house a college.
56	industrial=shipyard	Q5860	Item:Q5860	A place where ships are constructed.
57	waterway=boatyard	Q4946	Item:Q4946	A place for constructing, repairing and storing vessels out of the water.
58	cuisine=indian	Q21559	Item:Q21559	A place that mainly sells Indian food.
59	cuisine=italian	Q21562	Item:Q21562	A place that mainly sells Italian food.
60	plant:source=wind	Q19647	Item:Q19647	Wind farm
61	tourism=gallery	Q5846	Item:Q5846	An area or building that displays a variety of visual art exhibitions.
62	amenity=vending_machine	Q6711	Item:Q6711	A vending machine sells food, drinks, tickets or other goods automatically.
63	playground=sandpit	Q21372	Item:Q21372	Sandbox, container or shallow depression filled with soft sand.
64	tourism=motel	Q4791	Item:Q4791	Short term accommodation, particularly for people travelling by car.
65	shop=travel_agency	Q6441	Item:Q6441	A shop selling travel related products and services
66	denomination=shaivism	Q17130	Item:Q17130	
67	sport=toboggan	Q4758	Item:Q4758	Public toboggan run
68	shop=bakery	Q4728	Item:Q4728	A shop selling bread
69	amenity=public_bookcase	Q6310	Item:Q6310	A street furniture containing books. Take one, leave one.
70	industrial=oil_mill	Q6325	Item:Q6325	Using this tag is discouraged, use tag:man_made=works + tag:product=oil instead.
71	passenger	Q548	Item:Q548	Specifies whether a route as used for passenger traffic, or for the size of region served
72	railway=platform	Q4756	Item:Q4756	A railway platform.
73	emergency=fire_flapper	Q6469	Item:Q6469	A wildland firefighting tool also called a swatter or a beater. It is designed for extinguishing minor fires in rural areas such as heaths.
74	network=NZ:SH	Q22119	Item:Q22119	state highways in New Zealand
75	sport=trampoline	Q5506	Item:Q5506	Trampolining is a sport that is carried out on large trampolines indoor  or outdoors
76	payment:alipay	Q12947	Item:Q12947	
77	aerialway=cable_car	Q6824	Item:Q6824	A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.
78	boundary=census	Q19280	Item:Q19280	A census-designated boundary delineating a statistical area, not necessarily observable on the ground.
79	denomination=new_apostolic	Q17078	Item:Q17078	
80	geological=outcrop	Q5288	Item:Q5288	A place where the bedrock or superficial deposits previously covered under the soil have become locally exposed
81	highway=residential	Q5043	Item:Q5043	Road in a residential area
82	historic=ship	Q5858	Item:Q5858	A decommissioned ship/submarine which generally remains in one place
83	cuisine=argentinian	Q21546	Item:Q21546	
84	man_made=petroleum_well	Q6693	Item:Q6693	A hole bored in the earth, designed to bring petroleum oil or gas to the surface
85	amenity=events_centre	Q18214	Item:Q18214	A large, multi-purpose building used to hold events
86	healthcare:speciality=neurophysiology	Q21881	Item:Q21881	Medical specialty concerning the central and peripheral nervous systems through the recording of bioelectrical activity, whether spontaneous or stimulated.
87	smoking	Q705	Item:Q705	For marking applicable smoking rules. However, if a law mandates a given smoking rule, that need not be mapped.
88	healthcare:speciality=hepatology	Q21867	Item:Q21867	Medical speciality concerning the study of liver, gallbladder, biliary tree, and pancreas as well as management of their disorders.
89	sport=ultralight_aviation	Q18585	Item:Q18585	Ultralight aviation
90	building=cowshed	Q7655	Item:Q7655	A building for housing cows.
91	man_made=offshore_platform	Q6851	Item:Q6851	Offshore platform, oil platform or offshore drilling rig
92	military=airfield	Q4755	Item:Q4755	A place where military planes take off and land.
93	source:imagery	Q1957	Item:Q1957	Indicates the source of the imagery used to add this object to OSM.
94	natural=ridge	Q5170	Item:Q5170	A mountain landform with a continuous elevated crest or linear hill
95	amenity=baby_hatch	Q6956	Item:Q6956	A place where mothers can bring their newborn babies and leave them anonymously in a safe place to be found and cared for.
96	cuisine=peruvian	Q21570	Item:Q21570	
97	museum=open_air	Q6675	Item:Q6675	Open air museum.
98	protect_class=4	Q16305	Item:Q16305	Habitat/Species Management Area: an area with International Union for Conservation of Nature (IUCN) level protection that aims to protect a particular species or habitat.
99	healthcare=blood_bank	Q19844	Item:Q19844	A center where blood gathered as a result of blood donation is stored and preserved for later use in blood transfusion
100	denomination=orthodox_presbyterian_church	Q21449	Item:Q21449	Orthodox Presbyterian Church, a Protestant denomination in the United States
101	aeroway=highway_strip	Q6617	Item:Q6617	Designated emergency or military landing strip on an otherwise used highway.
102	fax	Q268	Item:Q268	A fax number associated with the object.
103	type=waterway	Q16046	Item:Q16046	Used for waterways to build a unique object for each river
104	waterway=river	Q5004	Item:Q5004	The linear flow of a river, in flow direction.
105	sport=golf	Q4829	Item:Q4829	A stick and ball game played from a 'tee' to a hole.
106	religion=confucian	Q18291	Item:Q18291	
107	shop=pottery	Q5767	Item:Q5767	A place where earthenware, stoneware and porcelain and other ceramic ware are sold.
108	man_made=bridge	Q6694	Item:Q6694	The outline of a bridge, grouping together all features for that bridge.
109	seamark:type=bridge	Q5231	Item:Q5231	Bridges with significance for navigation
110	waterway=canal	Q4764	Item:Q4764	An artificial open flow waterway used to carry useful water for transportation, waterpower, or irrigation.
111	roof:shape=dome	Q16940	Item:Q16940	Dome roof.
112	tower:construction=dome	Q5778	Item:Q5778	The 'communication tower' is a dome
113	ice_cream	Q3461	Item:Q3461	To indicate if a shop or amenity sells ice cream
114	leisure=sports_hall	Q16181	Item:Q16181	"A sufficiently large single room that is suitable for practising sports indoors and does not have a ""centre"" character."
115	taxon	Q757	Item:Q757	Describes the taxon of a feature.
116	material=concrete	Q21611	Item:Q21611	Concrete material.
117	building=garage	Q5202	Item:Q5202	Denotes a single-owner private garage
118	building=garages	Q5672	Item:Q5672	A block of private garages each with a separate owner
119	water=lake	Q5642	Item:Q5642	A naturally created body of relatively still fresh or salt water of considerable size, localized in a basin that is surrounded by land.
120	landform=dune_system	Q19867	Item:Q19867	Hills or a ridges of loose sand piled up by the wind.
121	natural=heath	Q4854	Item:Q4854	A dwarf-shrub habitat, characterised by open, low growing woody vegetation, often dominated by plants of the Ericaceae.
122	amenity=cafe	Q5009	Item:Q5009	A generally informal place with sit-down facilities selling beverages and light meals and/or snacks.
123	highway=speed_camera	Q6786	Item:Q6786	A fixed road-side or overhead speed camera.
124	name:was	Q22045	Item:Q22045	Washoe name; use old_name or was:name for the former name in the local language
125	language	Q5709	Item:Q5709	Foreign language being taught or used in an educational facility.
126	sport=taekwondo	Q5676	Item:Q5676	Taekwondo
127	name:nan	Q7866	Item:Q7866	Southern Min (Min Nan) name
128	advertising	Q54	Item:Q54	To characterize all types of advertising devices
129	natural=bay	Q4856	Item:Q4856	Named area of water mostly surrounded by land but with level connection to the ocean or a lake.
130	sport=ice_hockey	Q6781	Item:Q6781	Ice hockey ring.
131	natural=shrub	Q5772	Item:Q5772	A shrub.
132	denomination=vaishnavism	Q17150	Item:Q17150	
133	amenity=exhibition_centre	Q6511	Item:Q6511	exhibition centre
134	name:pa	Q12065	Item:Q12065	Punjabi name in the Gurmukhi script, as used in India
135	name:pnb	Q12074	Item:Q12074	Punjabi name in Shahmukhi script, as used in Pakistan
136	denomination=maronite	Q17136	Item:Q17136	
137	source:license	Q4428	Item:Q4428	
138	symbol	Q752	Item:Q752	Human-Readable Description of Route Symbols that are used as waymarkers or on guideposts
139	barrier=berm	Q19146	Item:Q19146	A berm is a level space, shelf, or raised barrier (usually made of compacted soil) separating two areas.
140	bunker_type=hardened_aircraft_shelter	Q7047	Item:Q7047	Hardened aircraft shelters
141	denomination=baptist	Q17063	Item:Q17063	
142	natural=isthmus	Q19327	Item:Q19327	A narrow strip of land, bordered by water on both sides and connecting two larger land masses
143	megalith_type=dolmen	Q6331	Item:Q6331	Dolmen - single-chamber megalithic tomb.
144	healthcare:speciality=haematology	Q21866	Item:Q21866	Medical speciality concerned with the study of the cause, prognosis, treatment, and prevention of diseases related to blood.
145	denomination=adventist	Q17099	Item:Q17099	
146	denomination=seventh_day_adventist	Q17077	Item:Q17077	
147	man_made=dyke	Q6341	Item:Q6341	An embankment built to restrict the flow of water or other liquids
148	waterway=dock	Q4732	Item:Q4732	An enclosed area for ships or boats within which the height of the water can be managed, or a dry dock.
149	zoo=enclosure	Q5158	Item:Q5158	Zoo where the animals are kept in enclosures or cages.
150	brewery	Q102	Item:Q102	Location sells beer from named brewery.
151	craft=brewery	Q5627	Item:Q5627	A dedicated building for the making of beer.
152	sport=tennis	Q4786	Item:Q4786	A competition where two or four players use a ball and rackets over a net.
153	sport=soccer	Q4910	Item:Q4910	Association football, more commonly known as football or soccer
154	leisure=pitch	Q4907	Item:Q4907	An area designed for practising a particular sport, normally designated with appropriate markings.
155	barrier	Q80	Item:Q80	A barrier is a physical structure which blocks or impedes movement.
156	memorial=statue	Q6043	Item:Q6043	Specifies a memorial as a statue.
157	tower:type=stupa	Q18857	Item:Q18857	
158	power=terminal	Q5481	Item:Q5481	A point of connection where an overhead power line ends on a building or wall, for example, when connecting it to an indoor substation
159	sport=horse_racing	Q6663	Item:Q6663	An equestrian sport in which several horses simultaneously race against each other.
160	place=suburb	Q4720	Item:Q4720	A part of a town or city with a well-known name and often a distinct identity.
161	landuse=farmland	Q4963	Item:Q4963	Area of farmland used mainly for tillage (annual crops).
162	sport=petanque	Q18592	Item:Q18592	Using this tag is discouraged, use tag:sport=boules + tag:boules=petanque instead.
163	sport=croquet	Q4831	Item:Q4831	"A sport or game that is played between two or more players embedded on a small grass playing court or pitch which involves hitting plastic or wooden balls with a mallet through hoops (often called ""wickets"" in the United States)."
164	denomination=coptic_orthodox	Q17133	Item:Q17133	
165	bench	Q88	Item:Q88	Used to indicate whether the feature has any benches or not.
166	amenity=bench	Q4773	Item:Q4773	A place for people to sit; allows room for several people.
167	emergency=siren	Q5377	Item:Q5377	A loud noise maker, such as an air raid siren or a tornado siren.
168	building=font	Q5586	Item:Q5586	The construction, built as a baptismal font.
169	heritage	Q331	Item:Q331	Site/building/object registered by an official heritage organisation
170	historic=heritage	Q5177	Item:Q5177	A building/area/site/monument officially recognized for its historic or cultural value tagged using rare tagging scheme. Consider using key:heritage instead.
171	highway=cycleway	Q4788	Item:Q4788	For designated cycleways.
172	artwork_type=bust	Q19812	Item:Q19812	Bust
173	building=water_tower	Q6431	Item:Q6431	A watertower
174	man_made=water_tower	Q6666	Item:Q6666	Structure with a water tank at an altitude to increase pressure in water network
175	harbour	Q325	Item:Q325	General harbour tag
176	seamark:type=harbour	Q5349	Item:Q5349	A natural or artificially improved body of water providing protection for vessels, and providing anchoring and docking facilities.
177	amenity=car_rental	Q7026	Item:Q7026	A place from which cars can be rented.
178	denomination=united_methodist	Q17088	Item:Q17088	
179	amenity=swingerclub	Q5285	Item:Q5285	In a swingerclub adult people meet to have a party and group sex.
180	railway	Q588	Item:Q588	The railway key is used to mark all kinds of railways, railway infrastructure or other transports using rails.
181	addr:housename	Q1047	Item:Q1047	The house (or building) name that is included in the address. Popular in some countries like England, Spain, Portugal, Latvia instead of, or in addition to, a house number.
182	man_made=wildlife_crossing	Q6233	Item:Q6233	Structure that allow animals to cross human barriers safely.
183	studio=television	Q19829	Item:Q19829	Television studio
184	manhole	Q398	Item:Q398	Hole with a cover that allows access to an underground service location, just large enough for a human to climb through
185	public_transport=platform	Q6672	Item:Q6672	The place where passengers are waiting for the public transport vehicles.
186	wires	Q831	Item:Q831	"Number of wires per power cable. ""single"" (1), ""double"" (2), ""triple"" (3) or ""quad"" (4)."
187	wall=noise_barrier	Q6609	Item:Q6609	a wall which protects against noise on one of its sides
188	railway:etcs	Q1729	Item:Q1729	Indicates that a railway is equipped with European Train Control System (ETCS)
189	industrial=grinding_mill	Q6650	Item:Q6650	A device that breaks solid materials into smaller pieces by grinding, crushing, or cutting. The aftermath is powdered product, not liquid extract like oil mill.
190	man_made=compass_rose	Q6888	Item:Q6888	A compass rose or wind rose.
191	vending=public_transport_tickets	Q6870	Item:Q6870	A machine vending bus, tram, train... tickets
192	payment:cash	Q1690	Item:Q1690	
193	building=cabin	Q5645	Item:Q5645	A small, roughly built house typically found in rural areas.
194	park_ride	Q1680	Item:Q1680	Park and ride
195	cuisine=greek	Q21557	Item:Q21557	A place that mainly sells Greek food.
196	castle_type=stately	Q6676	Item:Q6676	Stately home (château). Representative building without functional defenses.
197	sport=miniature_golf	Q18588	Item:Q18588	Miniature golf, also known as minigolf, mini-putt, crazy golf, or putt-putt, is an offshoot of the sport of golf focusing solely on the putting aspect of its parent game.
198	amenity=public_bath	Q6911	Item:Q6911	A location where the public may bathe in common
199	share_taxi	Q1909	Item:Q1909	
200	aerialway=chair_lift	Q6710	Item:Q6710	An open chairlift run. These have a single seat to sit on and are open to the outside air.
201	bike_ride	Q1101	Item:Q1101	Indicates a bicycle parking lot near a public transport stop.
202	shop=gift	Q4789	Item:Q4789	Shop selling gifts, greeting cards, or tourist gifts (souvenirs).
203	sport=bowls	Q4754	Item:Q4754	Sport in which the objective is to roll biased balls so that they stop close to a smaller ball.
204	boundary=marker	Q5496	Item:Q5496	A physical marker that identifies a boundary
205	craft	Q184	Item:Q184	A place producing or processing customized goods
206	addr:housenumber	Q43	Item:Q43	"The house (or building) number that is included in the address. The number may contain non-digits and if recording multiple house numbers separate them by "","" (e.g. ""12b,12c"")."
207	inscription	Q357	Item:Q357	Text which is written on an object.
208	cuisine	Q193	Item:Q193	For describing the type of food served at an eating place.
209	ref:vatin	Q633	Item:Q633	The VAT identification number.
210	sport=ski_jumping	Q18581	Item:Q18581	Ski jumping is a winter sport in which competitors aim to achieve the longest jump after descending from a specially designed ramp on their skis.
211	building=warehouse	Q6126	Item:Q6126	A commercial building for storage of goods.
212	amenity=place_of_worship	Q6914	Item:Q6914	A place where religious services are conducted.
213	healthcare:speciality=allergology	Q21847	Item:Q21847	A medical specialty dealing with allergies, their development, manifestation, course and treatment.
214	man_made=storage_tank	Q6298	Item:Q6298	A container that holds liquids or compressed gases.
215	healthcare:speciality=transplant	Q21910	Item:Q21910	Medical specialty concerning the transplantation of organs.
216	network=call-a-bike	Q5323	Item:Q5323	Station for borrowing or returning a bike in Call a Bike network
217	network=CA:transcanada	Q22118	Item:Q22118	Trans-Canada Highway in Canada
218	preschool	Q577	Item:Q577	Preschool - early childhood education to children between the ages of three and five
219	leisure=garden	Q4924	Item:Q4924	A place where flowers and other plants are grown in a decorative and structured manner or for scientific purposes.
220	piste:type=ski_jump	Q21202	Item:Q21202	A ski jumping hill
221	shop=copyshop	Q5623	Item:Q5623	A shop that offers photocopying and printing services.
222	heritage:operator	Q1321	Item:Q1321	The code of the Heritage Registration Organisation managing this element. If several, use semicolons to separate values.
223	craft=piano_tuner	Q7020	Item:Q7020	A piano tuner or technician. A professional that tunes, regulates and makes the maintenance of pianos. Most of them repair simple problems and some restore a whole piano.
224	shop=beauty	Q5056	Item:Q5056	A non-hairdresser beauty shop, spa, nail salon, etc.
225	amenity=fire_station	Q6992	Item:Q6992	A station from which a fire brigade operates.
226	leaf_type=broadleaved	Q6915	Item:Q6915	Indicates that the trees or tree is broadleaved as opposed to needleleaved or leafless.
227	tomb=war_grave	Q19335	Item:Q19335	A war grave
228	service=alley	Q4975	Item:Q4975	A service road usually located between properties, sometimes too narrow for cars to access
229	observatory:type=astronomical	Q6191	Item:Q6191	Astronomical observatory
230	amenity=hunting_stand	Q6686	Item:Q6686	An open or enclosed platform used by hunters to place themselves at an elevated height above the terrain.
231	amenity=ice_cream	Q6430	Item:Q6430	A place that sells ice cream and/or frozen yoghurt over the counter.
232	shop=ice_cream	Q7006	Item:Q7006	For places selling ice cream.
233	building=train_station	Q6491	Item:Q6491	A train station building
234	barrier=guard_rail	Q6306	Item:Q6306	A rail, typically metal, designed to keep vehicles within their roadway, and prevent  collisions or runaways. Right side is the smooth side facing the roadway. When drawing the line in iD, the arrow side points towards the road.
235	railway=roundhouse	Q5373	Item:Q5373	A characteristic semi-circular or circular building used by railroads to service engines.
236	tourism=chalet	Q4971	Item:Q4971	A holiday cottage with self-contained cooking and bathroom facilities.
237	amenity=animal_shelter	Q6399	Item:Q6399	A shelter for animal recovery
238	tourism=caravan_site	Q6544	Item:Q6544	A place where you can stay in a caravan overnight or for longer periods.
239	healthcare:speciality=paediatric_surgery	Q21889	Item:Q21889	Medical specialty concerning the surgery of fetuses, infants, children, adolescents, and young adults.
240	megalith_type=stone_ship	Q6402	Item:Q6402	Stone ship or ship setting.
241	denomination=united_reformed	Q17093	Item:Q17093	
242	railway=crossover	Q18085	Item:Q18085	Rail clutch
243	rating	Q1771	Item:Q1771	
244	museum=local	Q5516	Item:Q5516	Local museum.
245	amenity=drinking_water	Q7042	Item:Q7042	A drinking water source which provides potable water for consumption.
246	fountain=bubbler	Q19847	Item:Q19847	A generic drinking water fountain jetting water in the air.
247	man_made=insect_hotel	Q6996	Item:Q6996	Man made structure intended to provide shelter for insects
248	booking	Q94	Item:Q94	Whether booking of a feature is possible/required OR rarely booking.com url
249	sport=roller_skating	Q6315	Item:Q6315	The traveling on surfaces with roller skates.
250	highway=toll_gantry	Q7619	Item:Q7619	A tag on a node to denote a transponder or camera gantry that exists for the purpose of electronically collecting tolls.
251	amenity=kneipp_water_cure	Q6833	Item:Q6833	A foot bath is a shallow pool, often with handrail.
252	boundary=aboriginal_lands	Q7741	Item:Q7741	Boundary of aboriginal/native/indigenous territories and reservations.
253	healthcare=psychotherapist	Q21918	Item:Q21918	A mental health professional who uses psychological methods to help a person change behavior, increase happiness, and overcome problems.
254	attraction=dark_ride	Q16729	Item:Q16729	An indoor amusement ride where riders in guided vehicles travel through specially lit scenes, often with animation, sounds, and special effects.
255	man_made=flagpole	Q6714	Item:Q6714	A long pole built to hold a flag
256	sport=shuffleboard	Q18589	Item:Q18589	Shuffleboard is a game in which players use cues to push weighted discs, with the purpose of having them come to rest within a marked scoring area.
257	sport=crossfit	Q18593	Item:Q18593	CrossFit, a branded fitness regimen
258	shop=clothes	Q4835	Item:Q4835	A shop which primarily sells clothing
259	shop=fashion	Q5768	Item:Q5768	Fashion shop
260	seasonal	Q682	Item:Q682	Describes features that depend on seasonal conditions
261	shop=medical_supply	Q6798	Item:Q6798	A store where you can buy medical equipment for private persons.
262	leisure=bird_hide	Q6782	Item:Q6782	A place that is used to observe wildlife, especially birds.
263	barrier=jersey_barrier	Q6945	Item:Q6945	A barrier made of heavy prefabricated blocks.
264	historic=wayside_cross	Q6374	Item:Q6374	A historical cross, symbol of christian faith.
265	network=stadtradhamburg	Q17855	Item:Q17855	
266	delivery	Q209	Item:Q209	Sets whether the restaurant or shop offers delivery service
267	building=bakehouse	Q5856	Item:Q5856	Building for baking bread.
268	cuisine=balkan	Q21548	Item:Q21548	
269	dock=drydock	Q4817	Item:Q4817	A dock is an enclosed area of water for ships and other craft within which the height of the water can be managed.
270	shop=doityourself	Q4880	Item:Q4880	A Do-it-Yourself-store, a large hardware and home improvement shop
271	shop=hardware	Q4771	Item:Q4771	A shop which sells timber, tools and other building products
272	office=construction_company	Q17914	Item:Q17914	An office of a construction company.
273	toilets	Q773	Item:Q773	Indicates if a feature has a toilet.
274	amenity=toilets	Q4896	Item:Q4896	A publicly accessible toilet
275	denomination=mariavite	Q17152	Item:Q17152	
276	man_made=quay	Q6550	Item:Q6550	Length of coast designed to allow vessels of some size to moor alongside the shore.
277	payment:good_to_go	Q21368	Item:Q21368	Good To Go! electronic toll collection system in the U.S. state of Washington
278	tourism=camp_site	Q6556	Item:Q6556	An area where people can camp overnight using tents, camper vans or caravans.
279	craft=metal_construction	Q6462	Item:Q6462	Workplace or office of a person who work with metal. This applies to: planning, construction, trade, repair.
280	historic=archaeological_site	Q6701	Item:Q6701	A place in which evidence of past activity is preserved.
281	office=notary	Q5422	Item:Q5422	An office for a notary public (common law)
282	wheelchair=no	Q19406	Item:Q19406	
283	amenity=compressed_air	Q7044	Item:Q7044	A device to inflate tires/tyres (e.g. motorcar, bicycle).
284	craft=carpenter	Q5178	Item:Q5178	A workplace or office of carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects.
285	landuse=plant_nursery	Q6225	Item:Q6225	land used solely for plant nurseries, which grow live plants for sale
286	healthcare:speciality=oncology	Q21886	Item:Q21886	Medical specialty concerning the prevention, diagnosis, and treatment of cancer.
287	craft=electrician	Q5854	Item:Q5854	A person or company that works with electricity or electrical systems.
288	amenity=archive	Q5981	Item:Q5981	Archive.
289	wetland=swamp	Q4983	Item:Q4983	An area of waterlogged forest, with dense vegetation.
290	diplomatic:services:immigrant_visas	Q21164	Item:Q21164	Availability of immigrant visa services (for people intending to permanently reside in the other country) at a diplomatic office
291	diplomatic:services:non-immigrant_visas	Q21192	Item:Q21192	Availability of non-immigrant visa services (such as tourist and short-term student or business visas) at a diplomatic office
292	man_made=chimney	Q6852	Item:Q6852	A tall distinctive vertical conduit for venting hot gases or smoke, normally found near power stations or large factories
293	cemetery=grave	Q6086	Item:Q6086	To map a grave.
294	air_conditioning	Q1077	Item:Q1077	Indication whether a feature has air-conditioning
295	healthcare:speciality=nephrology	Q21879	Item:Q21879	Medical specialty concerning the study of the kidneys, specifically normal kidney function and kidney disease, the preservation of kidney health, and the treatment of kidney disease.
296	faculty	Q8366	Item:Q8366	Specifies the faculty of a university or other educational institution.
297	bridge=viaduct	Q5728	Item:Q5728	A long rail, road, or other bridge made up of many short spans.
298	bar	Q79	Item:Q79	Indicates whether a cafe/restaurant features a bar.
299	amenity=bar	Q4892	Item:Q4892	An establishment that sells alcoholic drinks to be consumed on the premises, characterised by a noisy and vibrant atmosphere. They usually do not sell food to be eaten as a meal. The music is usually loud and you often have to stand.
300	amenity=college	Q4763	Item:Q4763	A place for further education, a post-secondary education institution which is not a University
301	attraction=roller_coaster	Q16160	Item:Q16160	Permanent roller coaster, an amusement ride with an elevated rail track designed with tight turns, steep slopes, and sometimes loops.
302	wikidata	Q827	Item:Q827	The ID of the Wikidata item about the feature.
303	natural=wetland	Q4902	Item:Q4902	A natural area subject to inundation or with waterlogged ground
304	surface=mud	Q18669	Item:Q18669	Specifies that object has mud as a surface
305	power=substation	Q5959	Item:Q5959	Place where there is equipment for transmission and distribution of electricity, as well as voltage transformation equipment, protection control of the electric network.
306	shop=pawnbroker	Q5128	Item:Q5128	A business that offers secured loans against items of personal property as collateral.
307	diet:halal	Q228	Item:Q228	Indicates that the food sold has Halal certificate.
308	sport=paragliding	Q4961	Item:Q4961	Using this tag is discouraged, use sport=free_flying instead.
309	man_made=crane	Q6498	Item:Q6498	A stationary, permanent crane.
310	office=union	Q17924	Item:Q17924	An office of a trade union, an association of workers forming a bargaining unit
311	artwork_type=statue	Q6353	Item:Q6353	Figurative sculpture of people, animals or gods in a durable material.
312	healthcare:speciality=radiotherapy	Q21903	Item:Q21903	Medical specialty the application of ionizing radiation to humans and animals to cure or retard the progression of disease.
313	room	Q654	Item:Q654	Defines the function of a given room.
